# SentiWordNet Pt-BR v1.0b (13 Agosto 2017)
# Todos os direitos reservados.
#
# Link: https://github.com/Pedro-Thales/SentiWordNet-PT-BR
#
# Data format.
# 
# A primeira coluna corresponde ao ID baseado na identificação
# 	internacional baseada no WordNet 3.0.
# Os valores PosPont e NegPont são respectivamente a pontuação 
# 	positiva e negativa dos termos.
#
# A identação padrão utiliza tabulação entre as colunas.
#
#ID	PosScore	NegScore	Termo
00017222-n	0	0.25	planta
00017222-n	0	0.25	vegetal
00017241-r	0	0.875	pior
00017282-v	0	0	adormecer
00017282-v	0	0	cochilar
00017282-v	0	0	dormir
00017639-r	0	0.125	ainda
00017782-a	0.625	0	aceitável
00017865-v	0	0	cair no sono aos poucos
00017865-v	0	0	deitar-se na cama
00018158-v	0	0	acordar
00018158-v	0	0	levantar
00018302-r	0	0	bastante
00018302-r	0	0	bem
00018405-v	0	0	erguer
00018405-v	0	0	levantar
00018526-v	0	0	acordar
00018526-v	0	0	despertar
00018526-v	0	0	levantar-se
00018584-a	0.125	0.375	inaceitável
00018584-a	0.125	0.375	inadmissível
00018813-v	0.375	0	acordar
00018813-v	0.375	0	despertar
00018850-a	0	0.375	inaceitável
00019046-n	0	0	nativo
00019128-n	0.125	0	natureza
00019128-n	0.125	0	objeto_natural
00019339-r	0	0	sempre
00019448-v	0	0	afectar
00019448-v	0	0	afetar
00019613-n	0	0	substância
00019731-a	0.125	0.125	cômodo
00019731-a	0.125	0.125	prático
00019731-a	0.125	0.125	útil
00019792-v	0	0	atacar
00019874-a	0.5	0.125	inacessível
00019874-a	0.5	0.125	que não pode ser acessado
00019982-v	0	0.375	ulcerar
00020090-n	0	0	substância
00020103-a	0.125	0	distante
00020103-a	0.125	0	inacessível
00020103-a	0.125	0	isolado
00020133-v	0	0	acordar
00020142-r	0.375	0	consecutivamente
00020142-r	0.375	0	sucessivamente
00020280-r	0	0	constantemente
00020280-r	0	0	continuamente
00020280-r	0	0	eternamente
00020280-r	0	0	incessantemente
00020280-r	0	0	perpetuamente
00020280-r	0	0	sempre
00020476-r	0.125	0.25	de forma constante
00020476-r	0.125	0.25	de forma contínua
00020476-r	0.125	0.25	invariavelmente
00020476-r	0.125	0.25	sempre
00020671-v	0	0	hipnotizar
00020671-v	0	0	mesmerizar
00020759-r	0	0.625	em tempo algum
00020759-r	0	0.625	jamais
00020759-r	0	0.625	nunca
00020787-a	0.5	0	prestável
00020827-n	0	0	matéria
00020827-n	0	0	substância
00021065-v	0	0	anestesiar
00021110-a	0.75	0	obsequioso
00021212-r	0	0	de quando em quando
00021212-r	0	0	de vez em quando
00021212-r	0	0	ocasionalmente
00021212-r	0	0	outrora
00021212-r	0	0	uma vez
00021212-r	0	0	vez por outra
00021265-n	0	0	alimento
00021265-n	0	0	comida
00021265-n	0	0	nutriente
00021734-n	0	0	Nutrientes
00021734-n	0	0	nutriente
00021766-a	0.5	0	acurado
00021766-a	0.5	0	exacto
00021766-a	0.5	0	exato
00021766-a	0.5	0	justo
00021766-a	0.5	0	preciso
00021878-r	0	0	as vezes
00021878-r	0	0	outrora
00021878-r	0	0	por vezes
00021878-r	0	0	uma vez
00021878-r	0	0	às vezes
00021939-n	0	0	artefato
00021939-n	0	0	produto
00021939-n	0	0	utensílio
00022131-r	0	0.125	da mesma maneira que
00022131-r	0	0.125	tanto quanto
00022219-a	0.625	0	fiel
00022401-r	0	0	a muito tempo atrás
00022686-v	0.5	0	animar
00022686-v	0.5	0	energizar
00022686-v	0.5	0	estimular
00022686-v	0.5	0	excitar
00022829-r	0.125	0.125	praticamente
00022852-a	0.5	0	cirúrgico
00022903-n	0	0	artigo
00023074-r	0	0.375	em tal quantidade
00023074-r	0	0.375	tanto
00023100-n	0	0	característica psicológica
00023100-n	0	0	característica_psicológica
00023263-r	0.5	0	paradoxalmente
00023271-n	0	0	cognição
00023271-n	0	0	compreensão
00023271-n	0	0	conhecimento
00023271-n	0	0	noção
00023646-v	0	0.25	desfalecer
00023646-v	0	0.25	desmaiar
00023646-v	0	0.25	esvanecer
00023773-n	0	0	intenção
00023773-n	0	0	motivação
00023773-n	0	0	motivo
00023773-n	0	0	necessidade
00023854-a	0.125	0.75	equivocado
00023854-a	0.125	0.75	errado
00024047-v	0	0	acordar
00024073-r	0	0.625	não
00024139-a	0	0.5	infiel
00024264-n	0	0	atributo
00024264-n	0	0	característica
00024264-n	0	0	predicado
00024264-n	0	0	propriedade
00024279-v	0.25	0	animar
00024279-v	0.25	0	reanimar
00024279-v	0.25	0	reavivar
00024279-v	0.25	0	renascer
00024279-v	0.25	0	reviver
00024279-v	0.25	0	vivificar
00024417-a	0.125	0	costumado
00024417-a	0.125	0	habituado
00024417-a	0.125	0	habitual
00024619-a	0	0.375	habituado
00024619-a	0	0.375	usual
00024649-v	0	0	refrescar
00024720-n	0.25	0	condição
00024720-n	0.25	0	estado
00024720-n	0.25	0	situação
00024814-v	0	0	refrescar
00024893-r	0	0	também não
00024893-r	0	0	um ou outro
00024996-a	0	0.125	novo
00025203-v	0	0	estressar
00025203-v	0	0	tensionar
00025238-a	0	0.125	ácida
00025290-r	0	0	algures
00025290-r	0	0	em qualquer lugar
00025290-r	0	0	em qualquer parte
00025290-r	0	0	nenhures
00025290-r	0	0	para qualquer parte
00025464-r	0	0.125	em nenhum lugar
00025464-r	0	0.125	em nenhuma parte
00025464-r	0	0.125	em parte alguma
00025470-a	0	0.375	azeda
00025470-a	0	0.375	ácido
00025559-r	0	0	algum lugar
00025654-v	0	0.625	espairecer
00025654-v	0	0.625	relaxar
00025728-a	0	0	alcalino
00025728-r	0.375	0	em toda a parte
00025728-r	0.375	0	em toda parte
00025728-r	0.375	0	em todo o lugar
00026137-r	0	0	de alguma forma
00026137-r	0	0	por algum meio
00026153-v	0	0	ficar tenso
00026192-n	0.125	0.125	emoção
00026192-n	0.125	0.125	impressão
00026192-n	0.125	0.125	sentimento
00026385-v	0	0.125	descontrair
00026385-v	0	0.125	pegar_leve
00026385-v	0	0.125	relaxar
00026515-a	0.5	0	anfotérico
00026571-r	0	0	além de
00026571-r	0	0	de qualquer forma
00026571-r	0	0	de qualquer jeito
00026571-r	0	0	de qualquer maneira
00026571-r	0	0	em todo o caso
00027167-n	0	0	localização
00027167-n	0	0	lugar
00027167-n	0	0	ponto
00027258-r	0	0	de qualquer modo
00027268-v	0	0	alongar
00027268-v	0	0	estender
00027268-v	0	0	esticar
00027384-r	0.125	0.5	ainda assim
00027384-r	0.125	0.5	apesar de
00027384-r	0.125	0.5	apesar disso
00027384-r	0.125	0.5	contudo
00027384-r	0.125	0.5	de qualquer jeito
00027384-r	0.125	0.5	no entanto
00027384-r	0.125	0.5	não obstante
00027384-r	0.125	0.5	por mais que
00027384-r	0.125	0.5	porém
00027384-r	0.125	0.5	se bobear
00027599-a	0.5	0	aceitado
00027599-a	0.5	0	aceito
00027599-a	0.5	0	reconhecido
00027795-r	0.25	0	ainda
00027807-n	0	0	forma
00027807-n	0	0	forma geométrica
00027807-n	0	0	formato
00027918-r	0	0	ainda
00027918-r	0	0	até
00027918-r	0	0	até agora
00027918-r	0	0	até então
00028167-v	0	0	esticar
00028181-a	0.375	0	declarável
00028270-n	0	0	espaço_temporal
00028270-n	0	0	tempo
00028280-a	0	0	suposto
00028471-a	0.125	0	putativo
00028565-v	0	0	sorrir
00028651-n	0	0	espaço
00028651-n	0	0	infinito
00028984-a	0.25	0	secreto
00029007-n	0	0	espaço
00029025-v	0	0	sorrir
00029037-r	0	0	além de
00029037-r	0	0	fora
00029114-n	0.125	0	espaço fásico
00029214-v	0	0	sorrir
00029336-v	0.375	0	sorrir
00029343-a	0	0	cobiçoso
00029343-a	0	0	sequioso
00029367-r	0	0	ademais
00029367-r	0	0	aliás
00029367-r	0	0	além disso
00029367-r	0	0	demais
00029367-r	0	0	em continuação
00029367-r	0	0	mais
00029367-r	0	0	mais adiante
00029378-n	0	0	acontecimento
00029378-n	0	0	evento
00029378-n	0	0	fato
00029630-v	0	0.375	zurrar
00029639-r	0	0	mais longe
00029677-n	0	0	processos físicos
00029769-a	0.375	0	acumulativo
00029769-a	0.375	0	cumulativo
00029933-a	0	0	avaro
00029933-a	0	0	ganancioso
00029933-a	0	0	ávido
00029985-r	0	0	mais afastado
00030010-v	0	0	casquinar
00030358-n	0	0	ato
00030358-n	0	0	ação
00030358-n	0	0	feito
00030463-v	0	0	destruir
00030508-a	0	0	possessivo
00030798-a	0	0	predador
00030798-a	0	0	predatório
00031138-a	0.25	0.5	voraz
00031264-n	0	0	agrupação
00031264-n	0	0	conjunto
00031264-n	0	0	grupo
00031304-r	0	0.125	ainda
00031418-v	0	0.5	cacarejar
00031515-r	0	0.25	já não
00031515-r	0	0.25	não mais
00031515-r	0	0.25	não mas
00031606-r	0	0	daqui para frente
00031663-v	0	0	gracejar
00031798-r	0.125	0	já
00031820-v	0	0	gargalhar
00031820-v	0	0	rir
00031899-r	0.25	0.25	muito
00031921-n	0	0	conexão
00031921-n	0	0	relação
00032180-r	0.25	0	fabulosamente
00032180-r	0.25	0	fantasticamente
